timestamp,ax,ay,az,gx,gy,gz,label
1763742407.0856404,10928,12148,3468,49,241,55,TestMan
1763742407.342869,10972,12072,3480,53,239,-37,TestMan
1763742407.6408937,10784,12952,3040,-2612,-643,-3281,TestMan
1763742407.8409367,10320,10528,3188,-1418,411,1259,TestMan
1763742408.172113,11192,12180,3480,103,254,-92,TestMan
1763742408.4565382,8732,11828,520,2021,-1957,-6467,TestMan
1763742408.857387,11648,12944,3568,-1404,-7701,5339,TestMan
1763742409.0759928,13280,9880,1324,-183,-221,-2974,TestMan
1763742409.6363916,11188,12080,-596,622,-2234,2880,TestMan
1763742410.09202,13172,10072,1996,-892,4330,-3110,TestMan
1763742410.3080504,11356,12084,384,1675,1600,2951,TestMan
1763742410.6313944,11888,8560,736,2023,7743,-438,TestMan
1763742411.274246,11292,12320,2412,-1234,-408,-1208,TestMan
1763742411.7879364,11932,10996,3636,34,233,160,TestMan
1763742411.996075,12020,11048,3628,81,273,147,TestMan
1763742412.3127732,12020,11048,3588,44,280,4,TestMan
1763742412.6409814,11924,10856,3456,19,287,-67,TestMan
1763742413.015113,12064,10940,3564,129,284,6,TestMan
1763742413.3755662,12020,10988,3536,78,253,66,TestMan
