timestamp,ax,ay,az,gx,gy,gz,label
1763824721.70829,2668,-3788,16124,3341,-480,-5706,bbo
1763824722.1663764,4688,-1300,16272,1357,953,1217,bbo
1763824722.391962,10412,-2356,13060,5578,-6259,-1127,bbo
1763824722.8996015,14504,496,9360,4164,-8117,2471,bbo
1763824723.428912,15540,-3788,-2844,-964,-6832,1917,bbo
1763824723.6072187,16124,-2924,-136,43,11652,211,bbo
1763824723.907569,15200,-3132,4580,-1305,12893,219,bbo
1763824725.0349126,9160,-292,15256,-541,23630,-4412,bbo
1763824725.3458724,14516,-2556,8652,1368,-16316,3478,bbo
1763824725.689265,14900,-3932,2488,1193,-7444,858,bbo
1763824726.0575833,15620,-3464,504,-173,1088,-1332,bbo
1763824726.511518,15900,-2352,6748,-472,14334,1095,bbo
1763824726.909103,5580,-2764,16060,385,9728,-300,bbo
1763824727.2881217,-288,-2820,17052,346,3063,-302,bbo
